id,hood_158,risk_index
443,91,0.6079852317917347
444,91,0.6079852317917347
445,91,0.6079852317917347
451,64,0.6125539943781491
454,4,0.5847413823047596
456,39,0.5217031949273501
457,39,0.5217031949273501
458,NSA,0.6242037929233646
459,NSA,0.6242037929233646
462,168,0.6631787680451221
463,98,0.6516406909922795
465,96,0.5645201603720924
466,24,0.6250063345175487
467,24,0.6250063345175487
470,24,0.6250063345175487
471,126,0.6379569233150738
472,126,0.6379569233150738
474,126,0.6379569233150738
480,8,0.6062398381830887
482,40,0.4969387829023708
484,40,0.4969387829023708
486,40,0.4969387829023708
487,71,0.6407572276757588
488,138,0.506091679663957
489,138,0.506091679663957
490,138,0.506091679663957
491,138,0.506091679663957
493,63,0.620441400073526
494,63,0.620441400073526
497,94,0.6051960596919929
498,129,0.5638936806893435
500,102,0.5105004428604195
501,102,0.5105004428604195
502,102,0.5105004428604195
503,102,0.5105004428604195
504,102,0.5105004428604195
505,102,0.5105004428604195
507,83,0.5697131586694766
508,83,0.5697131586694766
511,78,0.6304275701710761
513,95,0.6231367953056474
514,129,0.5999956514787248
516,129,0.5999956514787248
517,129,0.5999956514787248
518,NSA,0.6065954417092242
520,NSA,0.6065954417092242
522,161,0.5520721888737211
523,161,0.5520721888737211
525,73,0.6349602056522489
527,135,0.6270741893241883
528,135,0.6270741893241883
529,157,0.7208818945820902
530,157,0.7208818945820902
533,172,0.6017619012653763
535,30,0.5431566488539412
536,85,0.5719351795735017
543,1,0.4959623979002394
544,166,0.5169875201784411
546,166,0.5169875201784411
548,1,0.47594615788797306
550,174,0.5793778279167288
552,162,0.5324050823515707
555,73,0.6182712225723366
558,151,0.623718003085905
560,64,0.5756407846512881
563,95,0.6577019312021302
566,120,0.6073870861161763
568,1,0.5357448902299233
570,18,0.6103547071362779
571,18,0.6103547071362779
572,18,0.6103547071362779
574,33,0.5437225394761741
575,101,0.5384358909297444
578,101,0.5384358909297444
579,43,0.6133038991902616
580,43,0.6133038991902616
581,43,0.6133038991902616
582,43,0.6133038991902616
583,43,0.6133038991902616
584,43,0.6133038991902616
585,64,0.6107428568723432
589,170,0.6407423026693542
591,78,0.6384283195773033
594,85,0.5475227879142543
595,18,0.6294303288771435
596,57,0.6023692415879964
598,166,0.5587755434714586
599,166,0.5587755434714586
601,10,0.5423026353296666
604,119,0.6406678950307486
605,170,0.6421528521331048
609,110,0.6614635022091053
611,110,0.6614635022091053
612,110,0.6614635022091053
615,111,0.5948531434369526
617,119,0.5976510442957462
618,119,0.5976510442957462
621,119,0.6519755486816242
622,119,0.6519755486816242
623,119,0.6519755486816242
626,38,0.5682632100768285
630,47,0.5370521590942031
632,18,0.6294303288771435
635,136,0.6028249258203263
636,150,0.6552523183350915
639,165,0.4109935963798909
640,165,0.4109935963798909
641,165,0.4109935963798909
642,165,0.4109935963798909
645,98,0.6583368088669797
647,165,0.4295126813368987
648,165,0.4295126813368987
649,165,0.4295126813368987
650,165,0.4295126813368987
653,165,0.42551768148564356
654,165,0.42551768148564356
656,165,0.42551768148564356
658,160,0.4950425692530564
659,160,0.4950425692530564
660,160,0.4950425692530564
662,1,0.47594615788797306
663,1,0.47594615788797306
665,1,0.47594615788797306
667,63,0.6125171659541391
669,143,0.7103603058162973
671,107,0.5893376809880623
672,11,0.5751925754428852
673,11,0.5751925754428852
675,156,0.7335419908816836
677,169,0.6349299353984903
680,164,0.6155773621349963
683,84,0.6669117813187581
686,11,0.5861057850579251
687,102,0.4840678078202212
690,99,0.6123684909348333
693,99,0.6123684909348333
694,162,0.543156090891532
696,40,0.517293534698509
697,40,0.517293534698509
698,40,0.517293534698509
700,40,0.517293534698509
701,40,0.517293534698509
703,83,0.585718861314535
704,83,0.585718861314535
705,10,0.5160346471077953
709,128,0.6597572902387022
711,114,0.4925751257781504
713,73,0.6172921058657961
716,1,0.5029683117569015
718,43,0.6210947156255225
719,43,0.6210947156255225
720,85,0.573341069639466
725,27,0.46931517265808986
726,27,0.46931517265808986
728,58,0.5522259837079889
730,58,0.5522259837079889
732,128,0.6527617843371456
734,5,0.4841574937586504
735,5,0.4841574937586504
736,5,0.4841574937586504
739,18,0.6309391298628231
740,6,0.5575193952834366
741,6,0.5575193952834366
742,6,0.5575193952834366
743,6,0.5575193952834366
745,30,0.5444323304414883
746,48,0.39871535525743684
747,48,0.39871535525743684
751,85,0.5867271476808728
753,47,0.5694816585445481
757,87,0.5768904910159608
758,170,0.6086530465035731
760,4,0.5715921403487062
761,146,0.6446885238494815
762,146,0.6446885238494815
765,85,0.5743717951501649
766,85,0.5743717951501649
767,85,0.5743717951501649
768,85,0.5743717951501649
769,111,0.5683270703508756
770,111,0.5683270703508756
771,111,0.5683270703508756
775,126,0.5771652551689195
777,126,0.5771652551689195
778,126,0.5771652551689195
782,153,0.7200274072564525
784,20,0.406585717214815
785,20,0.406585717214815
786,20,0.406585717214815
787,20,0.406585717214815
790,164,0.6282962855655222
791,164,0.6282962855655222
795,98,0.6537991230278313
797,61,0.6999998998074822
800,1,0.5357448902299233
802,164,0.6426034714900117
804,4,0.6005139326266788
806,50,0.5244649315859145
807,44,0.5604575127890262
808,44,0.5604575127890262
809,44,0.5604575127890262
812,100,0.5522573067769866
814,63,0.6303133644813096
816,48,0.42393281202172495
818,123,0.6814537280897968
819,109,0.5768149486425397
820,109,0.5768149486425397
822,109,0.5768149486425397
825,167,0.646157547768479
828,70,0.6050435523141569
830,80,0.5526997382159816
835,159,0.6423490189918717
836,159,0.6423490189918717
838,130,0.5546027600394611
839,130,0.5546027600394611
840,129,0.5207493564989627
845,73,0.5945420851129983
847,136,0.624925674587486
848,NSA,0.6257614857736765
852,73,0.6275091904212613
855,164,0.6426034714900117
857,136,0.6349233192320142
858,135,0.5917642715044262
859,135,0.5917642715044262
860,135,0.5917642715044262
861,135,0.5917642715044262
862,135,0.5917642715044262
863,135,0.5917642715044262
864,135,0.5917642715044262
865,135,0.5917642715044262
866,135,0.5917642715044262
867,135,0.5917642715044262
868,135,0.5917642715044262
869,95,0.6231367953056474
871,142,0.4887281559860575
872,142,0.4887281559860575
873,142,0.4887281559860575
874,142,0.4887281559860575
875,142,0.4887281559860575
877,95,0.6318853870999497
878,119,0.6243718799634084
879,119,0.6243718799634084
880,65,0.5463996932396137
881,65,0.5463996932396137
883,34,0.468296071404063
884,34,0.468296071404063
887,85,0.5602676925454049
889,81,0.6370084385883169
891,81,0.6370084385883169
893,148,0.5956916797401577
895,44,0.6150523794376345
898,128,0.6586290531229791
900,32,0.5167119471522136
906,85,0.5890315607297294
907,123,0.6999933129840615
909,108,0.6450320880820475
913,138,0.527530909930198
914,138,0.527530909930198
916,138,0.527530909930198
919,138,0.527530909930198
921,163,0.5406150645043514
923,163,0.5406150645043514
928,78,0.6383178582384674
929,1,0.5149513229551308
933,130,0.5734745941517563
934,161,0.5782093570472464
937,40,0.551173139253124
938,40,0.551173139253124
939,40,0.551173139253124
941,91,0.5944946860197322
943,171,0.5732770882853038
944,163,0.5000771871446362
945,163,0.5000771871446362
946,27,0.5482873716555067
948,70,0.5911988990835509
951,42,0.4240224695535099
952,30,0.5260845352051198
955,169,0.6079055656544811
957,52,0.49371148459845304
959,70,0.5613719817372601
961,149,0.6231483001644964
962,168,0.6429082637214528
963,168,0.6429082637214528
965,168,0.6429082637214528
966,11,0.5685489842747106
968,11,0.5685489842747106
969,1,0.5182007773625632
971,1,0.5182007773625632
972,1,0.5182007773625632
973,23,0.46039327261414387
976,92,0.594422215787847
977,92,0.594422215787847
983,63,0.6303133644813096
984,135,0.6150278945463198
987,135,0.6150278945463198
989,110,0.6615627477015685
994,65,0.5657260912167138
995,146,0.6132823256395434
996,146,0.6132823256395434
997,146,0.6132823256395434
998,146,0.6132823256395434
999,146,0.6132823256395434
1001,42,0.4734360014188865
1002,42,0.4734360014188865
1003,42,0.4734360014188865
1007,138,0.5516496353571426
1008,55,0.5760583763347517
1009,55,0.5760583763347517
1010,55,0.5760583763347517
1019,85,0.597686509962176
1021,1,0.5129031049465776
1022,98,0.6638474905225148
1024,13,0.43751220921812406
1025,13,0.43751220921812406
1026,13,0.43751220921812406
1028,109,0.5768149486425397
1029,113,0.561844277132526
1031,48,0.5164571818510865
1032,48,0.5164571818510865
1033,48,0.5164571818510865
1036,63,0.619697071969741
1038,96,0.5797399870217305
1039,5,0.48794647987508055
1041,5,0.48794647987508055
1042,5,0.48794647987508055
1043,5,0.48794647987508055
1047,88,0.6999998807353491
1051,35,0.4830160066958924
1054,7,0.5194926707328194
1055,31,0.5613501664330492
